Provincia,Partido,Localidad,bw_hasta_10M,bw_10_a_100M,bw_desde_100M,GrandTotal
BUENOS AIRES,25 de Mayo,25 de Mayo,867.0,5469.0,0.0,6336.0
BUENOS AIRES,25 de Mayo,Agustín Mosconi,58.0,0.0,0.0,58.0
BUENOS AIRES,25 de Mayo,Del Valle,192.0,0.0,0.0,192.0
BUENOS AIRES,25 de Mayo,Ernestina,66.0,0.0,0.0,66.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,180.0,1.0,0.0,181.0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6.0,0.0,0.0,6.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,1106.0,176.0,0.0,1282.0
BUENOS AIRES,25 de Mayo,Pedernales,572.0,3.0,0.0,575.0
BUENOS AIRES,25 de Mayo,San Enrique,103.0,0.0,0.0,103.0
BUENOS AIRES,25 de Mayo,Valdés,166.0,0.0,0.0,166.0
BUENOS AIRES,9 de Julio,12 de Octubre,11.0,0.0,0.0,11.0
BUENOS AIRES,9 de Julio,9 de Julio,8402.0,5761.0,98.0,14261.0
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),510.0,0.0,0.0,510.0
BUENOS AIRES,9 de Julio,Dudignac,378.0,0.0,0.0,378.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),203.0,0.0,0.0,203.0
BUENOS AIRES,9 de Julio,Patricios,57.0,19.0,0.0,76.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),95.0,35.0,0.0,130.0
BUENOS AIRES,Adolfo Alsina,Carhué,952.0,1532.0,0.0,2484.0
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,198.0,0.0,0.0,198.0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,58.0,0.0,0.0,58.0
BUENOS AIRES,Adolfo Alsina,Maza,394.0,2.0,10.0,406.0
BUENOS AIRES,Adolfo Alsina,Rivera,1155.0,47.0,0.0,1202.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),719.0,1091.0,0.0,1810.0
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,689.0,0.0,0.0,689.0
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,45.0,0.0,0.0,45.0
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,14.0,0.0,0.0,14.0
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),179.0,303.0,0.0,482.0
BUENOS AIRES,Alberti,Mechita,285.0,0.0,0.0,285.0
BUENOS AIRES,Almirante Brown,Adrogué,610.0,19085.0,1460.0,21155.0
BUENOS AIRES,Almirante Brown,Burzaco,1585.0,23123.0,3314.0,28022.0
BUENOS AIRES,Almirante Brown,Claypole,530.0,9588.0,1647.0,11765.0
BUENOS AIRES,Almirante Brown,Don Orione,413.0,3466.0,1306.0,5185.0
BUENOS AIRES,Almirante Brown,Glew,459.0,17515.0,1896.0,19870.0
BUENOS AIRES,Almirante Brown,Jose Mármol,496.0,6707.0,1589.0,8792.0
BUENOS AIRES,Almirante Brown,Longchamps,677.0,14386.0,1984.0,17047.0
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,195.0,3971.0,1208.0,5374.0
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,302.0,6514.0,698.0,7514.0
BUENOS AIRES,Almirante Brown,Rafael Calzada,1261.0,17446.0,2206.0,20913.0
BUENOS AIRES,Almirante Brown,San Francisco Solano,322.0,6287.0,1078.0,7687.0
BUENOS AIRES,Almirante Brown,San Jose,649.0,6552.0,2173.0,9374.0
BUENOS AIRES,AMBA,Otros,13.0,0.0,0.0,13.0
